f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,label,frame,video_id
0.6974,0.3739,0.020108256,0.004378872,0.020579515,-0.00021202977,0.24340545,0.16632122,0.06412901,0.0,0.082807004,0.06412901,41.08483,0.0,0.22064207,0.13992944,0.122431934,0.11934613,0.1974,0.1261,12.0,5.0,0.6215668,0.39938104,0.007871189,0.0027477215,0.010781392,8.3108316e-05,0.19045088,0.17886046,0.029755939,0.36585367,0.042000778,0.044610932,121.848656,0.6585366,0.19659793,0.14115113,0.10993959,0.10953351,0.15911132,0.10061894,10.365853,4.634146,0.13148567,0.047749728,0.008913707,0.0048079435,0.0074724625,0.002743594,0.0721542,0.035392918,0.01697553,0.48166886,0.019633682,0.035298456,104.86316,0.7842896,0.0139473,0.006027114,0.017439343,0.010288538,0.082161576,0.04774973,2.7475586,2.6755996,0.32969916,0.105722606,0.003641448,-0.0024718475,0.003407441,-1.2599402e-10,0.19120592,-0.05283551,-0.038290434,1.0,-0.053664148,-0.037347272,177.33191,2.0,0.034522012,0.022600353,0.036604896,0.019202255,0.18973175,-0.10572262,6.0,7.0,pass,354.0,7b0d5ead-ba12-4cf4-9c09-d674574a2e67
0.7411336,0.45565394,-0.0023664227,0.0011539446,0.0026327828,-1.15738155e-10,0.28329054,0.17268704,0.01800705,0.0,0.032292783,0.01800705,141.5896,1.0,0.22018795,0.1538986,0.13435096,0.108946174,0.24113357,0.044346057,11.0,8.0,0.703956,0.47283623,-0.002564478,0.0024479365,0.0068876618,-0.00015811651,0.24012698,0.13814394,0.019451581,0.12195122,0.035120238,0.021149639,156.07631,1.0243902,0.21466981,0.15553488,0.13071789,0.11206198,0.2039559,0.028920252,11.731708,6.756098,0.0474361,0.02200565,0.005966858,0.0046862923,0.004763798,0.0029671944,0.0345847,0.043179393,0.012157443,0.3272294,0.015319085,0.012391806,95.907524,0.7152625,0.012418679,0.007789347,0.0053899447,0.0037312272,0.0474361,0.019640224,0.98833185,1.0541552,-0.16452163,0.06980422,-0.020535955,-0.008319973,-0.006482777,-0.0051665977,-0.090501085,-0.1540776,0.04604793,-1.0,0.062232524,0.026436089,-201.72128,-2.0,0.042079553,0.026181728,0.016653724,-0.009925634,-0.16452163,-0.06640422,-3.0,-3.0,short_pass,379.0,7b0d5ead-ba12-4cf4-9c09-d674574a2e67
0.71245337,0.4789254,-0.007346642,0.0057253945,0.009314145,-1.048386e-10,0.25992635,0.14384647,0.014102493,0.0,0.055716544,0.014102493,140.24815,1.0,0.22275245,0.1555988,0.13455686,0.10922395,0.21245335,0.021074606,11.0,7.0,0.69188166,0.47719857,-0.003508887,0.0017513788,0.0065346854,-0.00010375749,0.23319414,0.12752092,0.0209657,0.17073171,0.035657056,0.023006126,146.9421,0.9512195,0.21728183,0.15742603,0.13159987,0.11134508,0.19188169,0.025727909,11.585366,6.634146,0.05778982,0.022372562,0.005688684,0.0037394424,0.004361429,0.0029395435,0.04362524,0.0514045,0.012284857,0.37627435,0.0146432,0.013490478,96.192085,0.7308939,0.011807743,0.007808331,0.0049846563,0.0032743118,0.05778982,0.018934477,0.93640745,1.1208901,-0.16459215,0.035630405,-0.008713595,-0.009831997,-0.004254057,-0.00051887037,-0.09456761,-0.13693367,0.009974554,1.0,-0.0118580945,0.022496104,-69.97023,0.0,0.0346635,0.024406463,0.01193314,-0.008488052,-0.16459216,-0.011430422,-2.0,-1.0,short_pass,382.0,7b0d5ead-ba12-4cf4-9c09-d674574a2e67
0.68197083,0.5079146,-0.0013291467,0.0022146255,0.002582866,-6.573213e-11,0.2346972,0.1197457,0.028588863,0.0,0.045168906,0.028588863,79.287,0.0,0.22510093,0.16324443,0.13276668,0.109659806,0.18197085,0.007914625,12.0,6.0,0.64067626,0.4920946,-0.006169394,0.0018663396,0.008138783,6.785033e-05,0.21075791,0.10458897,0.022272047,0.2195122,0.03815724,0.024801591,132.0103,0.8780488,0.20922631,0.1615603,0.12414661,0.10993257,0.14805344,0.02320657,10.02439,5.878049,0.09454158,0.02790465,0.0062095155,0.0030523606,0.0048145475,0.0032741616,0.058217354,0.05560938,0.012792442,0.4139162,0.018272063,0.013911187,98.441086,0.7052112,0.027914928,0.009121007,0.019555481,0.0023229967,0.08251122,0.017396005,2.654842,1.7557589,-0.2655546,0.06971076,-0.0047709136,-0.002856232,0.0027818654,-0.011141831,-0.12856814,-0.09382608,-0.0019277586,0.0,0.02650734,-0.0019277586,-38.79393,0.0,-0.046906173,0.025272131,-0.040987037,0.0005720705,-0.2057546,-0.021310732,-7.0,-5.0,duel,391.0,7b0d5ead-ba12-4cf4-9c09-d674574a2e67
0.65118706,0.47849146,-0.0075129145,-0.0061085373,0.009682878,-4.216555e-10,0.21172032,0.0924995,0.014773637,1.0,0.014773637,0.03141092,114.00285,1.0,0.23369178,0.16572767,0.13729197,0.10893158,0.15118709,0.021508537,10.0,6.0,0.6194666,0.4978234,-0.006848158,0.0019573662,0.008333527,0.00015260447,0.1982073,0.09778336,0.023204159,0.2195122,0.04198191,0.025733706,113.894196,0.80487806,0.20674062,0.1633112,0.120912015,0.10995183,0.13318437,0.021754105,9.658537,5.4634147,0.10075533,0.027099881,0.005574793,0.0032148252,0.0047638575,0.0034126535,0.061029185,0.052266166,0.012547567,0.41391623,0.019856425,0.013512968,51.534245,0.6706209,0.029351266,0.008616076,0.021515392,0.0023259865,0.08176703,0.01630645,2.8077397,1.7121882,-0.32001543,0.100211084,-0.014607091,0.007994377,0.006256782,0.007310952,-0.1894674,-0.08411051,0.029575223,-1.0,0.08694372,0.02863206,-190.40019,-2.0,-0.02291274,0.0121091455,-0.041520104,-0.006273702,-0.19941548,-0.00541107,-6.0,-5.0,duel,394.0,7b0d5ead-ba12-4cf4-9c09-d674574a2e67
0.5981487,0.49477914,-0.014551291,0.0018791462,0.014672126,5.897491e-11,0.16528781,0.041737936,0.051676244,0.0,0.060724407,0.051676244,54.5812,0.0,0.23506497,0.16743001,0.13816863,0.10937261,0.09814871,0.0052208537,10.0,5.0,0.594813,0.5049511,-0.0077889613,0.0021691518,0.009033072,0.00029490213,0.18584485,0.09342196,0.025236307,0.19512194,0.049406238,0.027742852,101.46364,0.68292683,0.20479962,0.16405374,0.11929434,0.10951021,0.12054283,0.021502763,9.317073,5.0731707,0.105753176,0.02657902,0.004947576,0.003521283,0.0045447485,0.0033544723,0.060254253,0.047224045,0.013024668,0.39629456,0.026279336,0.01361558,38.925034,0.6023945,0.02989389,0.0087356,0.021846326,0.0014391185,0.07511771,0.01638869,2.8235857,1.839807,-0.35157156,0.075121075,-0.013280709,-0.0058605624,0.012090988,0.0017574268,-0.20672354,-0.054147705,0.0028561745,0.0,0.10511716,0.0028561745,-100.66683,-1.0,-0.033786967,0.01757738,-0.029472038,0.00094619393,-0.15697154,-0.022921106,-4.0,-6.0,short_pass,397.0,7b0d5ead-ba12-4cf4-9c09-d674574a2e67
0.5782249,0.5045279,-0.009075129,0.0028279147,0.009505528,3.7433157e-10,0.14310095,0.027210763,0.03697494,1.0,0.03697494,0.045267683,76.64946,0.0,0.23056105,0.16914898,0.13463499,0.10902952,0.07822487,0.004527915,11.0,5.0,0.5690779,0.5101707,-0.008234261,0.001918867,0.009630015,4.1021034e-05,0.17114218,0.09072108,0.025424937,0.19512194,0.056322675,0.027931478,98.29809,0.6585366,0.20215996,0.16519633,0.11709703,0.10962316,0.1102338,0.01994836,9.02439,4.585366,0.108579665,0.022913598,0.004923728,0.0039083026,0.004273861,0.0036434997,0.0582044,0.043324273,0.013034397,0.39629456,0.03137431,0.013590139,42.032887,0.5678266,0.030136932,0.008230752,0.021752952,0.001466183,0.06640642,0.01518353,2.8412278,1.8867393,-0.32426715,0.0832921,0.004701929,0.0024739439,0.0016818624,-0.009019959,-0.17928116,-0.04662805,0.004245512,0.0,0.07949589,0.004245512,-74.15317,0.0,-0.038195863,0.014016688,-0.030888654,0.0015919134,-0.15326716,-0.0030921102,-4.0,-6.0,duel,400.0,7b0d5ead-ba12-4cf4-9c09-d674574a2e67
0.5542825,0.5155028,-0.008317512,0.0034027915,0.0089866575,-1.07723296e-10,0.12769786,0.018971175,0.024411405,1.0,0.024411405,0.035072017,80.733185,1.0,0.23172319,0.1706345,0.13488157,0.109284654,0.054282486,0.015502792,11.0,4.0,0.54836774,0.51516706,-0.0071761077,0.0016699356,0.00986318,0.00031408516,0.15973994,0.086687624,0.026074927,0.19512194,0.059382126,0.028581463,93.5881,0.63414633,0.1992663,0.16608475,0.11482259,0.10970624,0.098211184,0.02050243,8.780488,4.243902,0.10433136,0.020940065,0.007034364,0.0039691483,0.004715859,0.0044591622,0.052888166,0.04041479,0.012863024,0.39629456,0.033619415,0.013303961,41.42645,0.57407826,0.03001677,0.0077212206,0.021436153,0.0014632901,0.059825093,0.015753632,2.8155682,1.7913136,-0.21920672,0.03804922,0.029000193,-0.010582605,0.012877491,0.017876992,-0.12402932,-0.0830582,0.0012418013,0.0,-0.004624922,0.0012418013,-27.634071,0.0,-0.035464138,0.010160714,-0.02669032,0.0007552579,-0.19100672,0.0073507894,-3.0,-3.0,duel,403.0,7b0d5ead-ba12-4cf4-9c09-d674574a2e67
0.43025064,0.55408883,-0.009449362,0.00668884,0.011577177,-9.911486e-11,0.12273203,0.11441729,0.048182916,0.0,0.10727792,0.048182916,52.184006,0.0,0.18457049,0.17064823,0.10413921,0.11051195,0.06974936,0.054088842,7.0,2.0,0.53395045,0.50462925,0.0004575348,-0.0013399383,0.014383331,6.6205e-06,0.16025244,0.08434854,0.031432472,0.3902439,0.06114034,0.044265773,77.827065,0.5365854,0.1878984,0.16768548,0.10639564,0.10984954,0.08379374,0.030870507,8.609756,4.02439,0.09495696,0.03653462,0.014818332,0.0056191897,0.006803158,0.004468905,0.062797464,0.051554617,0.017149644,0.48780486,0.03391054,0.027930582,43.159966,0.54538244,0.026664445,0.0068762116,0.01796692,0.0014674914,0.056107584,0.020080341,2.658424,1.6599708,0.06662583,-0.03888294,0.017294569,0.0042625717,0.00027143583,-0.0115711605,0.103016764,0.09375006,0.05016315,-1.0,0.054690346,0.023901671,-71.374954,-1.0,-0.052312747,0.0011232495,-0.032269306,0.00053302944,0.06662583,0.038882926,2.0,2.0,short_pass,415.0,7b0d5ead-ba12-4cf4-9c09-d674574a2e67
0.41683552,0.5437279,0.0023355065,0.0036278884,0.004314645,1.3672104e-10,0.10673615,0.12350091,0.028022466,0.0,0.1140873,0.028022466,53.93079,1.0,0.18219976,0.1678205,0.10349418,0.11036838,0.08316449,0.04372789,7.0,2.0,0.5496522,0.50195193,0.0024421846,-0.00030359466,0.014377661,2.323623e-05,0.17853558,0.10175264,0.031410243,0.34146342,0.06257457,0.043400753,78.82003,0.58536583,0.18237908,0.16796988,0.102726996,0.10994254,0.09949555,0.034029916,8.853659,4.3170733,0.11181254,0.039724056,0.014078642,0.0069549433,0.0067763366,0.0044080997,0.07872379,0.055562235,0.017724011,0.4742005,0.033034462,0.028706588,43.22278,0.5399012,0.0209377,0.0069159037,0.014787869,0.0014570027,0.07119003,0.020585805,2.8589697,1.9685208,0.11945027,-5.5789948e-05,0.004390946,0.0065226257,0.0009526834,-0.0035788256,0.11343458,0.11551136,0.0035827775,-1.0,0.018030742,-0.0092519,-2.3325653,0.0,-0.004614085,0.0015586019,0.0014315844,0.00043816864,0.11945026,-5.5829063e-05,1.0,1.0,pass,421.0,7b0d5ead-ba12-4cf4-9c09-d674574a2e67
