t,ball_x,ball_y,holder_id,holder_team,reward,team0_r,team1_r
0,368.4643859863281,196.35333251953125,2,1,0.2,0.0,0.01
1,368.15513610839844,196.36856079101562,2,1,0.0,0.0,0.01
2,368.1022033691406,196.37116241455078,2,1,0.0,0.0,0.01
3,368.09132385253906,196.37169647216797,2,1,0.0,0.0,0.01
4,367.7954406738281,196.46435546875,2,1,0.0,0.0,0.01
5,367.6994934082031,196.49515533447266,2,1,0.0,0.0,0.01
6,367.7418975830078,196.48336029052734,2,1,0.0,0.0,0.01
7,367.76039123535156,196.47246551513672,2,1,0.0,0.0,0.01
26,380.1141815185547,196.02408599853516,2,1,0.0,0.0,0.01
27,380.10655212402344,196.02145385742188,2,1,0.0,0.0,0.01
28,380.3559875488281,195.90928649902344,2,1,0.0,0.0,0.01
29,380.4324493408203,195.87523651123047,2,1,0.0,0.0,0.01
30,380.45367431640625,195.86380004882812,2,1,0.0,0.0,0.01
31,380.4543762207031,195.86483764648438,2,1,0.0,0.0,0.01
32,380.4521179199219,195.86653900146484,2,1,0.0,0.0,0.01
33,380.4490509033203,195.86822509765625,2,1,0.0,0.0,0.01
34,380.4458923339844,195.86963653564453,2,1,0.0,0.0,0.01
35,379.95591735839844,195.59132385253906,2,1,0.0,0.0,0.01
36,379.77142333984375,195.48814392089844,2,1,0.0,0.0,0.01
37,379.7053985595703,195.45288848876953,2,1,0.0,0.0,0.01
38,379.6835479736328,195.4422378540039,2,1,0.0,0.0,0.01
39,379.67787170410156,195.44046783447266,2,1,0.0,0.0,0.01
40,379.6779479980469,195.4417495727539,2,1,0.0,0.0,0.01
41,379.6801300048828,195.4443588256836,2,1,0.0,0.0,0.01
42,379.6819610595703,195.44747161865234,2,1,0.0,0.0,0.01
43,378.8558807373047,194.87570190429688,2,1,0.0,0.0,0.01
44,378.546875,194.6619873046875,2,1,0.0,0.0,0.01
45,378.4366760253906,194.5859832763672,2,1,0.0,0.0,0.01
46,378.36302185058594,194.53760528564453,2,1,0.0,0.0,0.01
47,378.31202697753906,194.52310943603516,2,1,0.0,0.0,0.01
48,378.2980651855469,194.52136993408203,2,1,0.0,0.0,0.01
49,378.2977752685547,194.52367401123047,2,1,0.0,0.0,0.01
50,378.30162048339844,194.52777862548828,2,1,0.0,0.0,0.01
51,378.32667541503906,194.5517120361328,2,1,0.0,0.0,0.01
52,378.3394775390625,194.5631103515625,2,1,0.0,0.0,0.01
53,378.3964080810547,194.46344757080078,2,1,0.0,0.0,0.01
54,378.4182891845703,194.4276580810547,2,1,0.0,0.0,0.01
55,378.42564392089844,194.42378997802734,2,1,0.0,0.0,0.01
56,378.51976013183594,194.3309783935547,2,1,0.0,0.0,0.01
57,378.55625915527344,194.29773712158203,2,1,0.0,0.0,0.01
58,378.5707550048828,194.2870101928711,2,1,0.0,0.0,0.01
59,378.4264831542969,194.49736785888672,2,1,0.0,0.0,0.01
60,378.54400634765625,194.50218963623047,2,1,0.0,0.0,0.01
61,378.1038055419922,194.5174789428711,2,1,0.0,0.0,0.01
62,377.9425506591797,194.5239028930664,2,1,0.0,0.0,0.01
63,377.8842315673828,194.52980041503906,2,1,0.0,0.0,0.01
64,376.87066650390625,194.5797882080078,2,1,0.0,0.0,0.01
65,376.49293518066406,194.5985565185547,2,1,0.0,0.0,0.01
66,376.35914611816406,194.6057357788086,2,1,0.0,0.0,0.01
67,376.3170166015625,194.6085662841797,2,1,0.0,0.0,0.01
68,376.30670166015625,194.6132583618164,2,1,0.0,0.0,0.01
69,375.13275146484375,194.67984771728516,2,1,0.0,0.0,0.01
70,374.6931915283203,194.69296264648438,2,1,0.0,0.0,0.01
71,374.53831481933594,194.6956024169922,2,1,0.0,0.0,0.01
72,374.3829345703125,194.34905242919922,2,1,0.0,0.0,0.01
73,374.3220672607422,194.2227554321289,2,1,0.0,0.0,0.01
74,374.31077575683594,194.17452239990234,2,1,0.0,0.0,0.01
116,371.2115173339844,195.1457061767578,2,1,0.0,0.0,0.01
117,371.2115020751953,195.14557647705078,2,1,0.0,0.0,0.01
118,371.21266174316406,195.13265991210938,2,1,0.0,0.0,0.01
119,371.1604309082031,195.0311050415039,2,1,0.0,0.0,0.01
120,371.1434783935547,194.99806213378906,2,1,0.0,0.0,0.01
121,371.13818359375,194.9885025024414,2,1,0.0,0.0,0.01
122,371.1391143798828,194.97180938720703,2,1,0.0,0.0,0.01
123,371.1425018310547,195.05915069580078,2,1,0.0,0.0,0.01
124,371.1440124511719,195.0924530029297,2,1,0.0,0.0,0.01
125,371.1451873779297,195.10581970214844,2,1,0.0,0.0,0.01
126,371.1615753173828,195.04785919189453,2,1,0.0,0.0,0.01
127,371.1846160888672,195.0720672607422,2,1,0.0,0.0,0.01
128,371.21376037597656,195.0835189819336,2,1,0.0,0.0,0.01
129,371.2244873046875,195.0877685546875,2,1,0.0,0.0,0.01
130,371.2364959716797,195.09791564941406,2,1,0.0,0.0,0.01
131,371.2512664794922,195.1209716796875,2,1,0.0,0.0,0.01
132,371.2458953857422,195.07695770263672,2,1,0.0,0.0,0.01
133,371.24351501464844,195.0602798461914,2,1,0.0,0.0,0.01
134,371.1809539794922,194.98782348632812,2,1,0.0,0.0,0.01
135,371.1607360839844,194.96726989746094,2,1,0.0,0.0,0.01
136,371.1278991699219,194.94084930419922,2,1,0.0,0.0,0.01
137,371.1304168701172,194.80221557617188,2,1,0.0,0.0,0.01
138,371.13246154785156,194.75096893310547,2,1,0.0,0.0,0.01
139,371.13340759277344,194.73304748535156,2,1,0.0,0.0,0.01
140,371.1339874267578,194.72676849365234,2,1,0.0,0.0,0.01
141,371.1186065673828,194.6781234741211,2,1,0.0,0.0,0.01
142,371.189208984375,194.68014526367188,2,1,0.0,0.0,0.01
143,371.21514892578125,194.68135833740234,2,1,0.0,0.0,0.01
144,371.2247619628906,194.68296813964844,2,1,0.0,0.0,0.01
145,371.2259521484375,194.65972137451172,2,1,0.0,0.0,0.01
146,371.2095489501953,194.80616760253906,2,1,0.0,0.0,0.01
147,371.1414337158203,194.749755859375,2,1,0.0,0.0,0.01
148,371.10157775878906,194.7649383544922,2,1,0.0,0.0,0.01
149,371.1887969970703,194.9775161743164,2,1,0.0,0.0,0.01
150,371.2209930419922,195.05303192138672,2,1,0.0,0.0,0.01
151,371.1658935546875,195.0221176147461,2,1,0.0,0.0,0.01
152,371.1578826904297,195.0382537841797,2,1,0.0,0.0,0.01
153,371.1549835205078,195.04346466064453,2,1,0.0,0.0,0.01
154,371.15428161621094,195.04457092285156,2,1,0.0,0.0,0.01
155,371.1313781738281,195.00089263916016,2,1,0.0,0.0,0.01
156,371.0932922363281,194.93264770507812,2,1,0.0,0.0,0.01
157,371.07916259765625,194.906982421875,2,1,0.0,0.0,0.01
158,371.07415771484375,194.89728546142578,2,1,0.0,0.0,0.01
159,371.07273864746094,194.89361572265625,2,1,0.0,0.0,0.01
160,371.0851593017578,194.8893051147461,2,1,0.0,0.0,0.01
161,371.0071105957031,194.71731567382812,2,1,0.0,0.0,0.01
162,370.97389221191406,194.64895629882812,2,1,0.0,0.0,0.01
