player_id,touches
-1,18
2,58
5,49
179,7
211,1
222,2
344,7
391,17
439,2
453,2
489,1
500,9
538,4
652,3
707,4
708,1
759,1
869,4
878,7
911,9
938,4
955,1
958,1
994,1
998,1
1041,6
1079,4
1081,1
1107,5
1135,2
1136,2
1186,1
1196,1
1247,1
1257,1
1287,4
1308,7
1422,3
1433,2
1455,4
1472,2
1476,1
1494,2
1564,6
1718,1
1867,1
1875,10
1909,4
1972,1
1977,1
2034,5
2165,5
2223,16
2279,5
2285,2
2302,1
2304,2
2306,23
2329,13
2421,1
2455,1
2467,2
2474,23
2537,1
2774,1
2834,5
2847,2
2849,1
2870,1
2899,4
2997,11
3025,8
3069,1
3070,2
3110,1
3134,3
3270,1
3313,8
3378,3
3413,7
3484,2
3529,1
3602,1
3614,2
3640,1
3661,1
3671,4
3945,9
4095,3
4102,18
4167,1
4188,2
4265,2
4281,2
4282,2
4319,1
4349,9
4399,1
4426,6
4459,1
4507,6
4526,3
4581,2
4595,6
4633,6
4698,1
4706,2
4769,1
4777,1
4794,1
4800,1
4814,2
4817,1
4835,1
4844,1
4856,1
4864,9
4956,1
5039,1
5043,2
5064,28
5120,6
5182,2
5187,1
5195,1
5201,10
5262,1
5340,1
5343,1
5352,1
5355,6
5363,3
5368,13
5373,1
5386,1
5399,4
5425,1
5476,11
5489,1
5498,5
5510,7
5659,1
5715,2
5777,1
5779,1
5809,3
5858,1
5867,1
5872,5
5905,5
5931,2
5934,1
5941,1
6186,1
6279,1
6493,11
6533,1
6547,1
6663,1
6736,1
6768,1
6804,2
6806,2
6877,2
6890,1
6896,3
6947,1
7065,2
7074,4
7182,1
7200,1
7232,1
7242,1
7244,1
7402,1
7412,3
7427,1
7436,2
7454,3
7479,1
7543,4
7561,1
7625,1
7628,1
7631,1
7634,5
7683,1
7704,1
7733,3
7764,1
7798,1
7817,2
7820,1
7822,6
7840,1
7841,1
7881,4
7962,1
7964,7
7970,2
7991,2
8038,1
8101,1
8151,2
8155,2
8157,18
8235,2
8289,3
8358,1
8360,1
8374,1
8382,14
8406,1
8449,1
8557,1
8573,1
8584,18
8602,1
8929,1
8973,2
8976,1
8987,1
8995,3
9004,1
9010,1
9015,1
9018,1
9072,9
9073,1
9205,1
9262,1
9313,1
9348,1
9407,1
9459,1
9555,1
9577,1
9582,1
9602,1
9614,1
9618,1
9622,1
9623,1
9627,1
9662,1
9834,1
9875,2
9880,1
9887,2
9891,1
9933,7
10007,2
10012,3
10086,2
10119,7
10169,3
10178,1
10216,6
10224,1
10227,2
10364,2
10416,1
10458,1
10466,1
10672,1
10694,6
10778,1
10798,1
10838,2
10846,34
10917,18
11065,1
11074,19
11110,1
11124,2
11171,1
11328,1
11329,1
11359,2
11362,1
11396,6
11433,1
11436,1
11507,2
11555,7
11589,1
11592,1
11593,1
11595,1
11601,4
11619,1
11623,1
11669,1
11718,1
11724,1
11768,2
11798,1
11808,1
11813,10
12072,1
12074,3
12085,1
12101,1
12495,1
12579,4
12660,7
12681,4
12711,7
12760,1
12825,5
12878,19
12894,14
12943,2
12987,1
13081,1
13113,1
13120,2
13122,3
13199,1
13205,3
13213,1
13224,1
13236,3
13237,5
13239,1
13325,7
13350,1
13353,15
13355,3
13470,8
13558,4
13683,2
13685,2
13699,1
13765,2
13799,1
13800,1
13829,7
13878,2
13883,12
13927,1
13931,1
13967,1
14005,1
14037,1
14057,1
14081,1
14097,2
14101,1
14109,1
14110,2
14118,1
14134,1
14136,1
14140,4
14173,1
14242,1
14245,3
14320,1
14352,4
14400,1
14461,2
14516,1
14519,1
14580,1
14583,1
14587,1
14618,1
14636,1
14648,2
14658,1
14685,3
14728,2
14763,1
14783,5
14806,1
14875,1
14878,1
14880,2
14955,13
15150,1
15469,2
15519,2
15548,1
15671,1
15699,2
15700,4
15721,1
15740,2
15820,2
15870,4
15889,1
15916,3
15923,1
15932,1
15959,1
15963,1
15974,1
16000,1
16003,2
16020,2
16053,8
16152,4
16275,1
16287,2
16308,1
16312,1
16315,1
16319,3
16345,1
16361,7
16374,2
16380,1
16410,1
16429,1
16433,12
16445,4
16495,1
16550,3
16571,1
16573,2
16610,1
16615,1
16632,7
16634,3
16759,1
16774,6
16853,8
16913,12
17013,4
17021,10
17097,9
17321,4
17383,1
17410,11
17411,7
17482,2
17489,1
17634,13
17705,1
17775,3
17782,5
17784,1
17785,1
17789,2
17865,4
17887,1
17889,5
17983,4
18042,3
18051,1
18086,2
18167,1
18210,1
18212,1
18215,16
18329,8
18372,2
18380,2
18395,3
18401,1
18423,2
18430,4
18448,1
18716,1
18780,1
18781,1
18782,3
18797,3
18882,1
18898,1
18931,1
18944,1
18986,3
18995,15
18996,2
19014,1
19191,1
19238,12
19260,1
19301,32
19395,1
19519,1
19679,10
19690,1
19695,1
19728,3
19777,3
19784,1
19792,1
19825,4
19903,1
19921,7
19936,1
19937,8
19964,9
20014,1
20020,1
20063,1
20103,1
20136,13
20202,12
20204,4
20206,12
20224,8
20227,1
20236,3
20298,3
20299,1
20331,3
20332,1
20353,10
20358,1
20388,10
20425,6
20454,3
20507,4
21187,17
21211,1
21220,6
21335,3
21362,1
21394,2
21420,7
21422,2
21423,3
21427,1
21524,1
21526,1
21531,6
21549,1
21583,1
21591,1
21608,1
21765,16
21786,1
21821,1
21868,4
21984,1
22013,1
22045,1
22054,1
22058,2
22060,3
22185,4
22215,1
22220,1
22232,1
22234,1
22239,1
22241,2
22261,1
22266,1
22296,1
22331,1
22337,1
22350,4
22439,26
22463,1
22467,1
22469,1
22473,1
22489,1
22504,1
22565,2
22637,4
22642,5
22655,5
22700,10
22714,1
22737,1
22743,3
22756,2
22767,2
22772,4
22869,14
22878,2
22880,1
22899,10
22902,14
22913,4
22962,8
23043,4
23048,2
23194,10
23308,1
23314,5
23382,1
23387,1
23564,1
23612,6
23651,1
23710,11
23767,1
23768,1
23771,2
23776,1
23810,1
23811,1
23812,2
23814,2
23883,2
23885,8
23887,5
23892,1
23905,2
23934,1
23939,1
23956,1
24010,15
24012,1
24025,4
24026,5
24030,1
24048,1
24051,2
24053,1
24058,7
24061,1
24069,3
24072,1
24099,3
24109,8
24121,1
24208,14
24214,1
24242,2
24254,2
24256,1
24288,1
24294,1
24302,6
24306,1
24331,2
24354,1
24385,1
24393,2
24410,1
24411,4
24443,1
24508,2
24518,4
24566,1
24624,2
24655,1
24706,2
24753,4
24755,1
24808,1
24813,1
24821,1
24863,1
24888,1
24910,3
24916,1
24932,2
24997,1
24998,6
25230,10
25309,1
25320,2
25322,5
25324,1
25382,17
25384,30
25390,4
25419,1
25424,1
25429,1
25434,1
25508,4
25559,5
25575,2
25656,2
25676,2
25688,1
25761,3
25776,4
25797,1
25801,1
25828,1
25833,3
25914,1
26158,1
26220,2
26296,1
26319,1
26327,2
26342,4
26346,1
26363,1
26416,2
26427,1
26642,1
26655,1
26783,3
26788,1
26816,6
26835,1
26874,15
26992,2
27015,2
27023,1
27077,1
27097,3
27107,2
27170,5
27176,4
27193,1
27225,1
27327,1
27382,3
27397,2
27445,3
27468,1
27496,5
27535,1
27655,6
27694,2
27717,1
27784,2
27990,6
28023,1
28048,1
28142,10
28143,17
28194,6
28247,1
28250,3
28259,1
28262,4
28265,11
28354,1
28384,3
28400,7
28439,1
28751,1
28775,1
28788,1
28790,1
28807,1
28810,2
28825,10
28839,1
28841,1
28874,6
28898,1
28909,1
28917,4
28936,3
28951,1
28993,1
29021,1
29183,15
29187,1
29248,1
29249,1
29250,7
29251,1
29260,1
29331,1
29419,1
29431,3
29457,2
29462,2
29468,7
29475,7
29632,1
29660,5
29665,10
29691,3
29705,4
29714,2
29817,1
29856,11
29861,1
29873,1
29876,4
29908,5
29935,2
29957,1
29975,1
29977,1
29983,1
30006,1
30036,1
30073,1
30075,1
30076,11
30077,1
30138,2
30146,3
30172,9
30200,1
30344,4
30381,1
30388,1
30391,1
30399,4
30444,1
30471,1
30502,4
30534,2
30536,7
30545,6
30548,1
30602,1
30755,1
30757,1
30823,3
30865,2
30894,2
30909,3
30931,2
30949,1
30954,1
30955,1
31000,1
31001,1
31002,3
31010,1
31016,1
31017,2
31024,1
31047,1
31064,1
31105,1
31136,1
31139,62
31140,1
31178,3
31195,1
31215,1
31218,1
31239,1
31288,1
31294,7
31420,1
31437,3
31533,6
31575,1
31583,1
31621,6
31626,6
31648,1
31657,12
31740,13
31784,3
31785,1
31799,3
31811,10
31859,7
31877,7
31879,7
31889,35
31975,1
32052,2
32054,1
32063,1
32073,1
32095,1
32106,1
32183,1
32238,2
32263,1
32265,1
32322,12
32325,1
32431,1
32440,1
32443,1
32450,2
32452,1
32472,1
32478,1
32493,2
32519,2
33039,11
33272,2
33286,1
33302,1
33306,2
33311,8
33319,2
33321,1
33324,1
33334,1
33341,1
33392,7
33464,1
33533,5
33628,1
33686,9
33812,2
33835,2
33917,12
34043,1
34059,1
34061,1
34067,5
34104,1
34110,4
34132,3
